lga,policyName,policyURL,pdf_path,lga_id,policy_id,num_page
Launceston,Sustainability-Action-Plan,https://aus01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.launceston.tas.gov.au%2Ffiles%2Fassets%2Fpublic%2Fwaste-and-environment%2Fsustainability-action-plan.pdf&data=05%7C01%7CKeshwa.Naidu%40launceston.tas.gov.au%7Cf99db09f80654c475aa308dab88e59c2%7C7efea6fc38b1413a9783340391fac921%7C0%7C0%7C638025218773117438%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=mpm40E0QscSxBfYe4QL74B0Ner2HqXIyYS%2BthTOuI1s%3D&reserved=0,lga_CityofLaunceston_20230929_Sustainability-Action-Plan.pdf,LGA64010,LGA64010_4,36
Launceston,City-of-Launceston-Sustainability-Action-Plan-Review-Final,https://www.launceston.tas.gov.au/files/assets/public/v/1/council/reports-and-strategies/city-of-launceston-sustainability-action-plan-review-final.pdf,lga_CityofLaunceston_20230929_City-of-Launceston-Sustainability-Action-Plan-Review-Final.pdf,LGA64010,LGA64010_5,31
Lismore,Declaration-of-Climate-Change,https://infocouncil.lismore.nsw.gov.au/Open/2019/08/OC_13082019_MIN.PDF,lga_LismoreCityCouncil_20230929_Declaration-of-Climate-Change.pdf,LGA14850,LGA14850_1,14
Lismore,climate-resilience-policy-adopted-by-council-9-february-2021,https://www.lismore.nsw.gov.au/files/assets/public/5.-council/6.-about-council/documents/pd21-3-51710-climate-resilience-policy-adopted-by-council-9-february-2021.pdf,lga_LismoreCityCouncil_20230929_climate-resilience-policy-adopted-by-council-9-february-2021.pdf,LGA14850,LGA14850_2,6
Lismore,renewable-energy-master-plan,https://www.lismore.nsw.gov.au/files/assets/public/v/1/2.-community/3.-environmental-strategies/documents/renewable_energy_master_plan.pdf,lga_LismoreCityCouncil_20230929_renewable-energy-master-plan.pdf,LGA14850,LGA14850_3,159
Lismore,nimbin-community-disaster-plan-final-april-2021,https://www.lismore.nsw.gov.au/files/assets/public/v/1/2.-community/7.-emergencies-amp-disasters/documents/nimbin-community-disaster-plan-final-april-2021.pdf,lga_LismoreCityCouncil_20230929_nimbin-community-disaster-plan-final-april-2021.pdf,LGA14850,LGA14850_4,44
Lismore,the-channon-surrounds-disaster-resilience-plan-final-april-2021,https://www.lismore.nsw.gov.au/files/assets/public/v/1/2.-community/7.-emergencies-amp-disasters/documents/the-channon-surrounds-disaster-resilience-plan-final-april-2021.pdf,lga_LismoreCityCouncil_20230929_the-channon-surrounds-disaster-resilience-plan-final-april-2021.pdf,LGA14850,LGA14850_5,56
Lismore,biodiversity-management-strategy-2015-2035-revised-2nd-edition,https://www.lismore.nsw.gov.au/files/assets/public/v/1/2.-community/3.-environmental-strategies/documents/biodiversity-management-strategy-2015-2035-revised-2nd-edition.pdf,lga_LismoreCityCouncil_20230929_biodiversity-management-strategy-2015-2035-revised-2nd-edition.pdf,LGA14850,LGA14850_6,55
Litchfield,Draft-Climate-Adaptation-Strategy-and-Action-Plan,https://litchfield.nt.gov.au/file/download/2881,lga_LitchfieldCouncil_20230929_Draft-Climate-Adaptation-Strategy-and-Action-Plan.pdf,LGA72300,LGA72300_1,4
Macedon Ranges,Counting-Down-To-Zero-Zero-Net-Emissions-for-Council-Operations-Plan,https://www.mrsc.vic.gov.au/files/assets/public/strategies-amp-plans/counting-down-to-zero-zero-net-emissions-for-council-operations-plan.pdf,lga_MacedonRangesShireCouncil_20230930_Counting-Down-To-Zero-Zero-Net-Emissions-for-Council-Operations-Plan.pdf,LGA24130,LGA24130_1,34
